tool_type,diameter_mm,operation,material,status,lut_observation_id,group,detail
VBit,12.7000,RampFinish,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,RadialFinish,softwood,refused,,G5,engaged geometry (V-bit width)
VBit,12.7000,RadialFinish,hardwood,refused,,G5,engaged geometry (V-bit width)
VBit,12.7000,RadialFinish,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,RadialFinish,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,HorizontalFinish,softwood,refused,,G5,engaged geometry (V-bit width)
VBit,12.7000,HorizontalFinish,hardwood,refused,,G5,engaged geometry (V-bit width)
VBit,12.7000,HorizontalFinish,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,HorizontalFinish,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,ProjectCurve,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,ProjectCurve,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,AlignmentPinDrill,softwood,refused,,G6,drill
VBit,12.7000,AlignmentPinDrill,hardwood,refused,,G6,drill
VBit,12.7000,AlignmentPinDrill,mdf,refused,,G6,drill
VBit,12.7000,AlignmentPinDrill,plywood_hardwood,refused,,G6,drill
TaperedBallNose,3.1750,Profile,hardwood,refused,,G3,"family (taper contour/trace, no row in that family)"
TaperedBallNose,3.1750,Profile,mdf,refused,,G3,"family (taper contour/trace, no row in that family)"
TaperedBallNose,3.1750,Profile,plywood_hardwood,refused,,G3,"family (taper contour/trace, no row in that family)"
TaperedBallNose,3.1750,Trace,hardwood,refused,,G3,"family (taper contour/trace, no row in that family)"
TaperedBallNose,3.1750,Trace,mdf,refused,,G3,"family (taper contour/trace, no row in that family)"
TaperedBallNose,3.1750,Trace,plywood_hardwood,refused,,G3,"family (taper contour/trace, no row in that family)"
TaperedBallNose,3.1750,Drill,softwood,refused,,G6,drill
TaperedBallNose,3.1750,Drill,hardwood,refused,,G6,drill
TaperedBallNose,3.1750,Drill,mdf,refused,,G6,drill
TaperedBallNose,3.1750,Drill,plywood_hardwood,refused,,G6,drill
TaperedBallNose,3.1750,Waterline,softwood,refused,,G3,family (taper contour finish)
TaperedBallNose,3.1750,Waterline,hardwood,refused,,G3,family (taper contour finish)
TaperedBallNose,3.1750,Waterline,mdf,refused,,G3,family (taper contour finish)
TaperedBallNose,3.1750,Waterline,plywood_hardwood,refused,,G3,family (taper contour finish)
TaperedBallNose,3.1750,Pencil,hardwood,refused,,G3,"family (taper contour/trace, no row in that family)"
