# t_epoch,vmrss_kb,vmsize_kb,vmswap_kb,mem_available_kb,threads
1786142545.382,2931032,8551780,0,22022096,71
1786142545.882,2931032,8551780,0,22032300,71
1786142546.383,2931032,8551780,0,22032300,71
1786142546.883,2931032,8551780,0,22045580,71
1786142547.384,2931032,8551780,0,22043016,71
1786142547.884,2931032,8551780,0,22069092,71
1786142548.385,2931032,8551780,0,22073836,71
1786142548.885,2931032,8551780,0,22084200,71
1786142549.386,2931032,8551780,0,22085752,71
1786142549.886,2931032,8551780,0,22091684,71
1786142550.386,2931032,8551780,0,22100456,71
1786142550.887,2931032,8551780,0,22103392,71
1786142551.388,2931032,8551780,0,22103224,71
1786142551.888,2931032,8551780,0,22119224,71
1786142552.388,2931032,8551780,0,22124032,71
1786142552.889,2931032,8551780,0,22130656,71
1786142553.389,2931032,8551780,0,22129460,71
1786142553.889,2931032,8551780,0,22141184,71
1786142554.390,2931032,8551780,0,22141184,71
1786142554.890,2931032,8551780,0,22132224,71
1786142555.391,2931032,8551780,0,22109220,71
1786142555.891,2931032,8551780,0,22112072,71
1786142556.392,2931032,8551780,0,22112072,71
1786142556.892,2931032,8551780,0,22096700,71
1786142557.393,2931032,8551780,0,22100640,71
1786142557.893,2931032,8551780,0,22098244,71
1786142558.394,2931032,8551780,0,22098268,71
1786142558.895,2931032,8551780,0,22105840,71
1786142559.395,2931032,8551780,0,22103740,71
1786142559.896,2931032,8551780,0,22110860,71
1786142560.396,2931032,8551780,0,22089720,71
1786142560.896,2931032,8551780,0,22094264,71
1786142561.397,2931032,8551780,0,22087032,71
1786142561.897,2931032,8551780,0,22098188,71
1786142562.398,2931032,8551780,0,22099684,71
1786142562.899,2931032,8551780,0,22109036,71
1786142563.400,2931032,8551780,0,22106768,71
1786142563.901,2931032,8551780,0,22111348,71
1786142564.402,2931032,8551780,0,22112488,71
1786142564.902,2931032,8551780,0,22106132,71
1786142565.403,2931032,8551780,0,22094020,71
1786142565.904,2931032,8551780,0,22094580,71
1786142566.405,2931032,8551780,0,22094580,71
1786142566.905,2931032,8551780,0,22103296,71
1786142567.406,2931032,8551780,0,22103296,71
1786142567.906,2931032,8551780,0,22106420,71
1786142568.407,2931032,8551780,0,22110096,71
1786142568.907,2931032,8551780,0,22111088,71
1786142569.408,2931032,8551780,0,22110684,71
1786142569.908,2931032,8551780,0,22114052,71
1786142570.409,2931032,8551780,0,22109384,71
1786142570.910,2931032,8551780,0,22108332,71
1786142571.411,2931032,8551780,0,22117548,71
1786142571.911,2931032,8551780,0,22119124,71
1786142572.412,2931032,8551780,0,22119532,71
1786142572.912,2931032,8551780,0,22126932,71
1786142573.413,2931032,8551780,0,22126932,71
1786142573.913,2931032,8551780,0,22127136,71
1786142574.414,2931032,8551780,0,22127136,71
1786142574.914,2931032,8551780,0,22106672,71
1786142575.414,2931032,8551780,0,22092276,71
1786142575.915,2931032,8551780,0,22098292,71
1786142576.415,2931032,8551780,0,22098292,71
1786142576.916,2931032,8551780,0,22114836,71
1786142577.416,2931032,8551780,0,22093428,71
1786142577.917,2931032,8551780,0,22090936,71
1786142578.417,2931032,8551780,0,22086412,71
1786142578.918,2931032,8551780,0,22090468,71
1786142579.418,2931032,8551780,0,22099112,71
1786142579.919,2931032,8551780,0,22100452,71
1786142580.419,2931032,8551780,0,22101968,71
1786142580.920,2931032,8551780,0,22105072,71
1786142581.420,2931032,8551780,0,22101116,71
1786142581.920,2931032,8551780,0,22105848,71
1786142582.421,2931032,8551780,0,22105596,71
1786142582.921,2931032,8551780,0,22110404,71
