tool_type,diameter_mm,flutes,operation,material,status,refusal_text,rpm,feed_mm_min,plunge_mm_min,stepover_mm,depth_per_pass_mm,r_axial_depth_mm,r_radial_width_mm,r_chip_load_mm,force_n,power_kw,chipload_bounds_min_mm,chipload_bounds_max_mm,support_arm,support_detail,lut_observation_id,lut_row_pass_role,lut_is_extrapolated,lut_evidence_grade,lut_row_kind,lut_source_id,chipload_source,vendor_source,diagnostic_ids,diagnostic_severities,feeds_warnings,suggest_warnings,cap_family,cap_role,cap_factor,cap_mm
TaperedBallNose,3.1750,2,Zigzag,plywood_hardwood,ok,,15966.0000,3191.0000,360.0000,0.7150,0.2727,2.2225,1.1112,0.0999,8.2827,0.0011,0.0750,0.1249,VendorBacked,,onsrud-plywood-hardwood-77-100-1_8-pocket,Roughing,false,A,Exact,onsrud_hard_plywood_cutting_data,"VendorLut { observation_id: ""onsrud-plywood-hardwood-77-100-1_8-pocket"" }",onsrud-plywood-hardwood-77-100-1_8-pocket,compat.ball_nose_on_flat_clearing;feeds.long_tool_derate;feeds.aggressiveness_engagement,Hint;Info;Info,LongToolDerate,RoughingDepthClampedToRigidity;EngagementReducedForAggressiveness,Pocket,Roughing,0.2000,0.3559
TaperedBallNose,3.1750,2,Trace,softwood,ok,,17740.0000,1856.0000,476.0000,,0.1667,0.1905,0.0635,0.0523,0.5745,,,,FormulaOnly,"repo-derived chipload formula k0*D^p*(1/H)^q (machine::ChipLoadFormula, feeds::calculate step 2); exponents per CREDITS.md 'Chipload column convention and scaling laws'; k0 uncited (code comment 'Shapeoko empirical data' only)",,,,,,,FormulaFallback,,feeds.long_tool_derate,Info,LongToolDerate,AggressivenessNotApplied;CutGeometryFieldNotHeld,Trace,Finish,,
TaperedBallNose,3.1750,2,Trace,hardwood,refused,"Suggest has no basis for Trace with a tapered ball nose in hardwood: No published figure backs the formula for a tapered ball-nose on adaptive, pocket, contour or trace passes: Onsrud 77-100 puts it below half.",,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Trace,Finish,,
TaperedBallNose,3.1750,2,Trace,mdf,refused,"Suggest has no basis for Trace with a tapered ball nose in MDF: No published figure backs the formula for a tapered ball-nose on adaptive, pocket, contour or trace passes: Onsrud 77-100 puts it below half.",,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Trace,Finish,,
TaperedBallNose,3.1750,2,Trace,plywood_hardwood,refused,"Suggest has no basis for Trace with a tapered ball nose in hardwood plywood: No published figure backs the formula for a tapered ball-nose on adaptive, pocket, contour or trace passes: Onsrud 77-100 puts it below half.",,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Trace,Finish,,
TaperedBallNose,3.1750,2,Drill,softwood,refused,"Suggest has no basis for Drill with a tapered ball nose in softwood: No published wood figure exists for a plunge drill with a tapered ball-nose, and the drill multiplier 2.5 is unsourced.",,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Drill,Roughing,,
TaperedBallNose,3.1750,2,Drill,hardwood,refused,"Suggest has no basis for Drill with a tapered ball nose in hardwood: No published wood figure exists for a plunge drill with a tapered ball-nose, and the drill multiplier 2.5 is unsourced.",,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Drill,Roughing,,
TaperedBallNose,3.1750,2,Drill,mdf,refused,"Suggest has no basis for Drill with a tapered ball nose in MDF: No published wood figure exists for a plunge drill with a tapered ball-nose, and the drill multiplier 2.5 is unsourced.",,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Drill,Roughing,,
TaperedBallNose,3.1750,2,Drill,plywood_hardwood,refused,"Suggest has no basis for Drill with a tapered ball nose in hardwood plywood: No published wood figure exists for a plunge drill with a tapered ball-nose, and the drill multiplier 2.5 is unsourced.",,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Drill,Roughing,,
TaperedBallNose,3.1750,2,Chamfer,softwood,refused,Chamfer needs a V-bit tool; this tool is a tapered ball nose.,,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Trace,Finish,,
TaperedBallNose,3.1750,2,Chamfer,hardwood,refused,Chamfer needs a V-bit tool; this tool is a tapered ball nose.,,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Trace,Finish,,
TaperedBallNose,3.1750,2,Chamfer,mdf,refused,Chamfer needs a V-bit tool; this tool is a tapered ball nose.,,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Trace,Finish,,
TaperedBallNose,3.1750,2,Chamfer,plywood_hardwood,refused,Chamfer needs a V-bit tool; this tool is a tapered ball nose.,,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Trace,Finish,,
TaperedBallNose,3.1750,2,DropCutter,softwood,ok,,17740.0000,3884.0000,476.0000,0.0950,,0.3175,0.0952,0.1095,1.1376,,0.0821,0.1369,VendorBacked,,onsrud-softwood-77-100-1_8-parallel,Finish,false,A,Exact,onsrud_soft_wood_cutting_data,"VendorLut { observation_id: ""onsrud-softwood-77-100-1_8-parallel"" }",onsrud-softwood-77-100-1_8-parallel,efficiency.very_fine_stepover;feeds.long_tool_derate,Info;Info,LongToolDerate,FinishEnvelopeAdvisory;AggressivenessNotApplied;CutGeometryFieldNotHeld,Parallel,Finish,,
TaperedBallNose,3.1750,2,DropCutter,hardwood,ok,,17740.0000,3884.0000,371.0000,0.0950,,0.3175,0.0952,0.1095,2.2751,,0.0821,0.1369,VendorBacked,,onsrud-hardwood-77-100-1_8-parallel,Finish,false,A,Exact,onsrud_hard_wood_cutting_data,"VendorLut { observation_id: ""onsrud-hardwood-77-100-1_8-parallel"" }",onsrud-hardwood-77-100-1_8-parallel,efficiency.very_fine_stepover;feeds.long_tool_derate,Info;Info,LongToolDerate,FinishEnvelopeAdvisory;AggressivenessNotApplied;CutGeometryFieldNotHeld,Parallel,Finish,,
TaperedBallNose,3.1750,2,DropCutter,mdf,ok,,15079.0000,3301.0000,373.0000,0.0950,,0.3175,0.0952,0.1095,2.0353,,0.0821,0.1369,VendorBacked,,onsrud-mdf-77-100-1_8-parallel,Finish,false,A,Exact,onsrud_mdf_cutting_data,"VendorLut { observation_id: ""onsrud-mdf-77-100-1_8-parallel"" }",onsrud-mdf-77-100-1_8-parallel,efficiency.very_fine_stepover;feeds.long_tool_derate,Info;Info,LongToolDerate,FinishEnvelopeAdvisory;AggressivenessNotApplied;CutGeometryFieldNotHeld,Parallel,Finish,,
TaperedBallNose,3.1750,2,DropCutter,plywood_hardwood,ok,,15966.0000,3191.0000,360.0000,0.0950,,0.3175,0.0952,0.0999,0.8235,,0.0750,0.1249,VendorBacked,,onsrud-plywood-hardwood-77-100-1_8-parallel,Finish,false,A,Exact,onsrud_hard_plywood_cutting_data,"VendorLut { observation_id: ""onsrud-plywood-hardwood-77-100-1_8-parallel"" }",onsrud-plywood-hardwood-77-100-1_8-parallel,efficiency.very_fine_stepover;feeds.long_tool_derate,Info;Info,LongToolDerate,FinishEnvelopeAdvisory;AggressivenessNotApplied;CutGeometryFieldNotHeld,Parallel,Finish,,
TaperedBallNose,3.1750,2,Adaptive3d,softwood,ok,,17740.0000,3884.4021,476.0000,0.1690,3.1720,4.7625,0.2540,0.1095,19.6862,0.0095,0.0781,0.1301,VendorBacked,,onsrud-softwood-77-100-1_8-pocket,Roughing,false,A,Exact,onsrud_soft_wood_cutting_data,"VendorLut { observation_id: ""onsrud-softwood-77-100-1_8-pocket"" }",onsrud-softwood-77-100-1_8-pocket,feeds.long_tool_derate;feeds.aggressiveness_engagement,Info;Info,LongToolDerate,EngagementReducedForAggressiveness;StrategyRewrote;FeedRescaledToFinalGeometry,Adaptive,Roughing,1.5000,5.3819
TaperedBallNose,3.1750,2,Adaptive3d,hardwood,ok,,17740.0000,3884.4021,371.0000,0.1520,3.1680,4.7625,0.2286,0.1095,38.7055,0.0179,0.0781,0.1301,VendorBacked,,onsrud-hardwood-77-100-1_8-pocket,Roughing,false,A,Exact,onsrud_hard_wood_cutting_data,"VendorLut { observation_id: ""onsrud-hardwood-77-100-1_8-pocket"" }",onsrud-hardwood-77-100-1_8-pocket,efficiency.very_fine_stepover;feeds.long_tool_derate;feeds.aggressiveness_engagement,Info;Info;Info,LongToolDerate,EngagementReducedForAggressiveness;StrategyRewrote;FeedRescaledToFinalGeometry,Adaptive,Roughing,1.5000,5.3804
TaperedBallNose,3.1750,2,Adaptive3d,mdf,ok,,15079.0000,3301.7418,373.0000,0.1600,3.1700,4.7625,0.2413,0.1095,34.9288,0.0140,0.0781,0.1301,VendorBacked,,onsrud-mdf-77-100-1_8-pocket,Roughing,false,A,Exact,onsrud_mdf_cutting_data,"VendorLut { observation_id: ""onsrud-mdf-77-100-1_8-pocket"" }",onsrud-mdf-77-100-1_8-pocket,feeds.long_tool_derate;feeds.aggressiveness_engagement,Info;Info,LongToolDerate,EngagementReducedForAggressiveness;StrategyRewrote;FeedRescaledToFinalGeometry,Adaptive,Roughing,1.5000,5.3812
TaperedBallNose,3.1750,2,Adaptive3d,plywood_hardwood,ok,,15966.0000,3191.3620,360.0000,0.1600,3.1620,4.7625,0.2413,0.0999,14.0155,0.0060,0.0713,0.1188,VendorBacked,,onsrud-plywood-hardwood-77-100-1_8-pocket,Roughing,false,A,Exact,onsrud_hard_plywood_cutting_data,"VendorLut { observation_id: ""onsrud-plywood-hardwood-77-100-1_8-pocket"" }",onsrud-plywood-hardwood-77-100-1_8-pocket,feeds.long_tool_derate;feeds.aggressiveness_engagement,Info;Info,LongToolDerate,EngagementReducedForAggressiveness;StrategyRewrote;FeedRescaledToFinalGeometry,Adaptive,Roughing,1.5000,5.3782
TaperedBallNose,3.1750,2,Waterline,softwood,refused,Suggest has no basis for Waterline with a tapered ball nose in softwood: No published figure backs the formula for a tapered ball-nose on waterline or steep-shallow passes: it is below half of the Onsrud 77-100 band.,,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Contour,SemiFinish,,
TaperedBallNose,3.1750,2,Waterline,hardwood,refused,Suggest has no basis for Waterline with a tapered ball nose in hardwood: No published figure backs the formula for a tapered ball-nose on waterline or steep-shallow passes: it is below half of the Onsrud 77-100 band.,,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Contour,SemiFinish,,
TaperedBallNose,3.1750,2,Waterline,mdf,refused,Suggest has no basis for Waterline with a tapered ball nose in MDF: No published figure backs the formula for a tapered ball-nose on waterline or steep-shallow passes: it is below half of the Onsrud 77-100 band.,,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Contour,SemiFinish,,
TaperedBallNose,3.1750,2,Waterline,plywood_hardwood,refused,Suggest has no basis for Waterline with a tapered ball nose in hardwood plywood: No published figure backs the formula for a tapered ball-nose on waterline or steep-shallow passes: it is below half of the Onsrud 77-100 band.,,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Contour,SemiFinish,,
TaperedBallNose,3.1750,2,Pencil,softwood,ok,,17740.0000,1856.0000,476.0000,,,0.1905,0.0635,0.0523,0.5745,,,,FormulaOnly,"repo-derived chipload formula k0*D^p*(1/H)^q (machine::ChipLoadFormula, feeds::calculate step 2); exponents per CREDITS.md 'Chipload column convention and scaling laws'; k0 uncited (code comment 'Shapeoko empirical data' only)",,,,,,,FormulaFallback,,feeds.long_tool_derate,Info,LongToolDerate,AggressivenessNotApplied;CutGeometryFieldNotHeld,Trace,Finish,,
TaperedBallNose,3.1750,2,Pencil,hardwood,refused,"Suggest has no basis for Pencil Finish with a tapered ball nose in hardwood: No published figure backs the formula for a tapered ball-nose on adaptive, pocket, contour or trace passes: Onsrud 77-100 puts it below half.",,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Trace,Finish,,
TaperedBallNose,3.1750,2,Pencil,mdf,refused,"Suggest has no basis for Pencil Finish with a tapered ball nose in MDF: No published figure backs the formula for a tapered ball-nose on adaptive, pocket, contour or trace passes: Onsrud 77-100 puts it below half.",,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Trace,Finish,,
TaperedBallNose,3.1750,2,Pencil,plywood_hardwood,refused,"Suggest has no basis for Pencil Finish with a tapered ball nose in hardwood plywood: No published figure backs the formula for a tapered ball-nose on adaptive, pocket, contour or trace passes: Onsrud 77-100 puts it below half.",,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Trace,Finish,,
TaperedBallNose,3.1750,2,Scallop,softwood,ok,,17740.0000,3884.0000,476.0000,,,0.3175,1.1091,0.1095,1.6691,,0.0821,0.1369,VendorBacked,,onsrud-softwood-77-100-1_8-scallop,Finish,false,A,Exact,onsrud_soft_wood_cutting_data,"VendorLut { observation_id: ""onsrud-softwood-77-100-1_8-scallop"" }",onsrud-softwood-77-100-1_8-scallop,feeds.long_tool_derate,Info,LongToolDerate,FinishEnvelopeAdvisory;AggressivenessNotApplied;CutGeometryFieldNotHeld;CutGeometryFieldNotHeld,Scallop,Finish,,
TaperedBallNose,3.1750,2,Scallop,hardwood,ok,,17740.0000,3884.0000,371.0000,,,0.3175,1.1091,0.1095,3.3383,,0.0821,0.1369,VendorBacked,,onsrud-hardwood-77-100-1_8-scallop,Finish,false,A,Exact,onsrud_hard_wood_cutting_data,"VendorLut { observation_id: ""onsrud-hardwood-77-100-1_8-scallop"" }",onsrud-hardwood-77-100-1_8-scallop,feeds.long_tool_derate,Info,LongToolDerate,FinishEnvelopeAdvisory;AggressivenessNotApplied;CutGeometryFieldNotHeld;CutGeometryFieldNotHeld,Scallop,Finish,,
TaperedBallNose,3.1750,2,Scallop,mdf,ok,,15079.0000,3301.0000,373.0000,,,0.3175,1.1091,0.1095,2.9864,,0.0821,0.1369,VendorBacked,,onsrud-mdf-77-100-1_8-scallop,Finish,false,A,Exact,onsrud_mdf_cutting_data,"VendorLut { observation_id: ""onsrud-mdf-77-100-1_8-scallop"" }",onsrud-mdf-77-100-1_8-scallop,feeds.long_tool_derate,Info,LongToolDerate,FinishEnvelopeAdvisory;AggressivenessNotApplied;CutGeometryFieldNotHeld;CutGeometryFieldNotHeld,Scallop,Finish,,
